Nome do alimento,Grupo,Energia,Lípidos (FAT),Ácidos gordos saturados (FASAT),Ácidos gordos monoinsaturados (FAMS),Ácidos gordos polinsaturados (FAPU),Ácido linoleico (F18:2CN6),Ácidos gordos trans (FATRS),Hidratos de carbono (CHO),Mono+dissacáridos (SUGAR),Oligossacáridos (OLSAC),Amido (STARCH),Sal (NACL),Fibra alimentar (FIBT),Proteína (PROT),Ácidos orgânicos (OA),Colesterol (CHORL),Vitamina A total (equivalentes de retinol) (VITA),Caroteno (CAROT),Vitamina D (VITD),a-tocoferol (TOCPHA),Tiamina (THIA),Riboflavina (RIBF),Niacina (NIA),Equivalentes de niacina (NIAEQ),Triptofano/60 (NIATRP),Vitamina B6 (VITB6),Vitamina B12  (VITB12),Vitamina C (VITC),Folatos (FOL),Cinza (ASH),Sódio (Na),Potássio (K),Cálcio (Ca),Fósforo (P),Magnésio (Mg),Ferro (Fe),Zinco (Zn)
Favas frescas cruas,"Leguminosas, frutos secos",80,0.5,0.1,0,0.3,0.1,0,8.5,1.6,0.5,6.4,0.018,6.1,7.4,0,0,0.011,0.064,0,0.00046,0.00004,0.00004,0.0012,0.0024,0.0012,0.00006,0,0.023,0.00015,0.84,0.007,0.27,0.025,0.087,0.032,0.0012,0.001
Favas secas cruas,"Leguminosas, frutos secos",301,1.3,0.2,0.3,0.5,0.5,0,32.8,6.2,2.3,24.3,0.032,27.6,25.8,0,0,0.005,0.03,0,0.00046,0.00043,0.00026,0.0026,0.0067,0.0041,0.00037,0,0,0.00015,3.5,0.013,1.09,0.1,0.33,0.2,0.005,0.0032
Feijão branco cru,"Leguminosas, frutos secos",318,1.4,0.3,0.4,0.4,0.4,0,43.9,2.6,3.8,37.5,0.11,22.9,21,0,0,0,0,0,0.0002,0.00035,0.00017,0.0012,0.0046,0.0034,0.00035,0,0,0.0003,2.8,0.043,1.16,0.18,0.31,0.18,0.0061,0.0028
Feijão frade cru,"Leguminosas, frutos secos",342,1.3,0.6,0.1,0.9,0.9,0,55.3,3.1,3.9,48.3,0.045,9.4,22.6,0,0,0.005,0.03,0,0.0003,0.00054,0.00018,0.0021,0.0069,0.0048,0.00037,0,0.001,0.00063,3.2,0.018,1.1,0.081,0.41,0.13,0.0052,0.0035
Feijão manteiga cru,"Leguminosas, frutos secos",316,1.4,0.3,0.4,0.4,0.4,0,42.6,2.5,3.6,36.5,0.032,22.9,21.8,0,0,0,0,0,0.0003,0.00061,0.00019,0.0014,0.0049,0.0035,0.0006,0,0,0.00036,3,0.013,1.37,0.16,0.3,0.14,0.0078,0.0049
Feijão verde fresco cru,"Leguminosas, frutos secos",32,0.3,0.1,0,0.2,0.1,0,3.8,2.8,0,1,0.005,3,1.9,0,0,0.043,0.26,0,0.0002,0.00005,0.00007,0.0007,0.0012,0.0005,0.00005,0,0.017,0.00008,0.98,0.002,0.25,0.04,0.035,0.017,0.0007,0.0002
Grão-de-bico cru,"Leguminosas, frutos secos",354,5,0.5,1,2.5,2.5,0,51.4,2.8,3.4,45.2,0.015,13.5,19,0,0,0.01,0.06,0,0.0027,0.00041,0.00015,0.0019,0.0044,0.0025,0.0005,0,0.003,0.00018,3,0.006,0.98,0.14,0.24,0.1,0.0063,0.0025
Lentilhas secas cruas,"Leguminosas, frutos secos",321,0.7,0.1,0.1,0.3,0.3,0,47.6,1.2,3.1,43.3,0.03,11.8,25.2,0,0,0.01,0.06,0,0,0.00043,0.00027,0.0019,0.0053,0.0034,0.00093,0,0,0.00011,2.4,0.012,0.94,0.074,0.36,0.11,0.0068,0.0039
"Noz, miolo","Leguminosas, frutos secos",699,67.5,5.4,15,47,38,0,3.6,2.6,0,1,0.03,5.2,16.7,0,0,0,0,0,0.0038,0.00033,0.00014,0.0009,0.0036,0.0027,0.00067,0,0.001,0.000066,1.98,0.012,0.5,0.09,0.29,0.16,0.0026,0.0027
"Pinhão, miolo","Leguminosas, frutos secos",622,51.7,3.5,15,31,30,0,5,2.4,0,2.6,0.0025,1.9,33.2,0,0,0,0,0,0.01,0.00039,0.00022,0.0027,0.0089,0.0062,0.00011,0,0,0.000057,4.26,0.001,0.78,0.054,0.35,0.27,0.0047,0.0065
"Tremoço, cozido e salgado","Leguminosas, frutos secos",126,2.4,0.3,1,0.6,0.5,0,7.2,0.5,0,6.7,2.28,4.8,16.4,0,0,0,0,0,0.0001,0.0001,0.00001,0.0005,0.0027,0.0022,0.00012,0,0,0.00011,3.1,0.91,0.24,0.045,0.1,0.054,0.0055,0.0015
Iogurte batido magro com cereais,Leite e produtos lácteos,49,0.4,0.2,0.1,0,0,0,5.7,5.7,0,0,0.23,1,4.3,1.2,0.002,0.03,0.017,0,0,0.00004,0.00025,0.0002,0.0011,0.0009,0.00004,0,0,0.0000017,0.75,0.092,0.2,0.12,0.1,0.017,0.0003,0.0004
Iogurte natural sólido magro,Leite e produtos lácteos,42,0.2,0.1,0.1,0,0,0,5.2,5.2,0,0,0.18,0,4.6,0.2,0.002,0.017,0.01,0,0,0.00004,0.00027,0.0002,0.0012,0.001,0.00003,0,0,0.0000015,0.75,0.072,0.2,0.16,0.12,0.014,0.0002,0.0006
Leite de vaca UHT gordo,Leite e produtos lácteos,62,3.5,2,0.8,0.1,0.1,0.1,4.7,4.7,0,0,0.11,0,3,0,0.013,0.059,0.029,0,0.00007,0.00004,0.00014,0.0002,0.0009,0.0007,0.00004,0.00018,0,0.000001,0.75,0.043,0.16,0.11,0.077,0.009,0.0001,0.0004
Leite de vaca UHT meio gordo,Leite e produtos lácteos,47,1.6,0.9,0.4,0,0,0.1,4.9,4.9,0,0,0.1,0,3.3,0,0.008,0.022,0.012,0,0.00003,0.00004,0.00018,0.0002,0.0009,0.0007,0.00005,0.00012,0,0.000001,0.76,0.04,0.16,0.11,0.081,0.009,0.0001,0.0005
Nata não maturada UHT 35% gordura,Leite e produtos lácteos,335,35,20,7.9,1,0.9,1.2,3.1,3.1,0,0,0.07,0,1.8,0,0.074,0.479,0.247,0.0000002,0.0019,0.00002,0.00017,0.0003,0.0007,0.0004,0.00002,0.00017,0,0.000003,0.4,0.028,0.098,0.061,0.052,0.005,0.0002,0.0002
Queijo creme para barrar,Leite e produtos lácteos,263,22,4.9,4,10.4,10.2,0,6.9,6.9,0,0,2.45,0,9.3,0,0.018,0.066,0,0,0.0076,0.00004,0.00026,0.0016,0.0038,0.0022,0.00005,0.0003,0,0.000013,4,0.98,0.22,0.3,0.66,0.018,0.0002,0.0013
Queijo flamengo 30% gordura,Leite e produtos lácteos,247,14,7.5,3.6,1,0.4,0.6,0.2,0.2,0,0,2.58,0,30,0,0.038,0.234,0.175,0,0.0003,0.00005,0.00039,0.0004,0.0074,0.007,0.00008,0.0018,0,0.000035,5,1.03,0.12,0.85,0.5,0.055,0.0009,0.0055
Queijo flamengo 45% gordura,Leite e produtos lácteos,316,23.4,12.6,6,0.9,0.7,1.1,0.2,0.2,0,0,2.12,0,26,0.3,0.069,0.268,0.201,0.0000002,0.00044,0.00004,0.0004,0.0004,0.0065,0.0061,0.00009,0.002,0,0.000039,4.82,0.85,0.1,0.8,0.51,0.04,0.0008,0.0053
Queijo fundido 40% gordura,Leite e produtos lácteos,326,25.7,13.8,6.6,1,0.9,1.2,0.2,0.2,0,0,3.48,0,22.5,1.3,0.088,0.242,0.112,0.0000001,0.00049,0.00022,0.00032,0.0006,0.0059,0.0053,0.00008,0.00092,0,0.000018,5.53,1.39,0.13,0.75,0.76,0.028,0.0008,0.0032
Requeijão 13% de proteína,Leite e produtos lácteos,187,12.7,6.8,3.3,0.5,0.4,0.6,5.1,5.1,0,0,0.7,0,13,0,0.046,0.139,0.048,0,0.0015,0.00003,0.00028,0.0015,0.0045,0.003,0.00001,0.0008,0,0.000015,3.8,0.28,0.21,0.47,0.3,0.024,0.0003,0.0011
Requeijão 8% de proteína,Leite e produtos lácteos,150,11.3,6.1,2.9,0.4,0.3,0.5,4.1,4.1,0,0,0.9,0,8,0,0.049,0.146,0.051,0,0.0011,0.00002,0.00019,0.0013,0.0032,0.0019,0.00001,0.0006,0,0.000011,3.5,0.36,0.15,0.3,0.19,0.019,0.0001,0.0008
Ovo (de galinha) inteiro cru,Ovos e ovoprodutos,149,10.8,2.7,3.9,2.1,1.9,0,0,0,0,0,0.35,0,13,0,0.408,0.19,0,0.0000017,0.0023,0.00007,0.00044,0.00004,0.0038,0.0038,0.00036,0.001,0,0.00005,0.9,0.14,0.13,0.044,0.18,0.011,0.0021,0.0013
"Ovo (de galinha), clara crua",Ovos e ovoprodutos,47,0.3,0.1,0.1,0,0,0,0,0,0,0,0.48,0,11,0,0,0,0,0,0.00003,0.00004,0.00033,0.00003,0.0032,0.0032,0.00002,0.0001,0,0.000014,1.3,0.19,0.14,0.006,0.013,0.012,0.0001,0.0001
"Ovo (de galinha), gema crua",Ovos e ovoprodutos,342,30.9,8.3,11.7,4.6,3.9,0.1,0,0,0,0,0.12,0,16,0,1.28,0.5,0,0.0000049,0.0046,0.00024,0.00065,0.00001,0.0047,0.0047,0.0008,0.0028,0,0.00013,1.7,0.048,0.09,0.13,0.48,0.011,0.0055,0.003
Abrótea cozida,"Peixe, produtos da pesca",78,0.1,0,0,0.1,0,0,0,0,0,0,0.9,0,19.4,0,0.026,0.001,0,0.0000004,0.00004,0.00003,0.00002,0.00047,0.0041,0.0036,0.00005,0.0004,0,0.000012,2,0.36,0.36,0.013,0.27,0.036,0.0002,0.0006
Abrótea crua,"Peixe, produtos da pesca",70,0.1,0,0,0,0,0,0,0,0,0,0.16,0,17.2,0,0.022,0.001,0,0.0000004,0.00004,0.00003,0.00003,0.00056,0.0038,0.0032,0.00006,0.00044,0,0.000012,1.1,0.063,0.36,0.011,0.23,0.028,0.0002,0.0005
Amêijoa aberta ao natural sem sal,"Peixe, produtos da pesca",131,1.8,0.4,0.2,0.4,0,0,5.2,0,0,5.2,1.22,0,23.4,0,0.088,0.175,0,0.0000002,0.00058,0.00006,0.0003,0.0032,0.0082,0.005,0.00007,0.067,0,0.000016,2,0.49,0.16,0.1,0.36,0.21,0.017,0.0042
Amêijoa crua,"Peixe, produtos da pesca",65,0.9,0.2,0.1,0.2,0,0,2.6,0,0,2.6,0.6,0,11.7,0,0.044,0.097,0,0.0000001,0.00029,0.00004,0.00015,0.0017,0.0042,0.0025,0.00004,0.037,0,0.0000095,1,0.24,0.078,0.051,0.18,0.1,0.0085,0.0021
Amêijoas,"Peixe, produtos da pesca",89,2.5,0.4,1.3,0.4,0.121,0,3.2,0.3,0,2.9,0.65,0.4,12.8,0.5,0.047,0.11,0.034,0.0000001,0.00062,0.00005,0.00017,0.0019,0.00461,0.00272,0.00006,0.04,0.009,0.000012,1.21,0.26,0.13,0.063,0.2,0.11,0.0093,0.0023
"Bacalhau seco e salgado, demolhado cru","Peixe, produtos da pesca",80,0.4,0.1,0.1,0.1,0,0,0,0,0,0,3.7,0,19,0,0.052,0.004,0,0.0000045,0.00028,0.00005,0.00007,0.00076,0.0043,0.0035,0.00007,0.00095,0,0.0000081,3.4,1.48,0.036,0.033,0.12,0.023,0.0002,0.0008
Berbigão cru,"Peixe, produtos da pesca",59,0.7,0.1,0.1,0.3,0,0,2.7,0,0,2.7,0.95,0,10.5,0,0.03,0,0,0,0,0.00005,0.00011,0.0017,0.0039,0.0022,0.00004,0.041,0,0.000018,3.2,0.38,0.062,0.056,0.16,0.058,0.0059,0.0011
Camarão cozido,"Peixe, produtos da pesca",99,0.8,0.2,0.1,0.4,0.1,0,0.4,0,0,0.4,4,0,22.6,0,0.198,0.002,0,0,0.0009,0.00003,0.00001,0.0024,0.0072,0.0048,0.00005,0.0024,0,0.0000098,5,1.6,0.23,0.11,0.19,0.038,0.0023,0.0004
Camarão cru,"Peixe, produtos da pesca",77,0.6,0.1,0.1,0.3,0.1,0,0.3,0,0,0.3,0.48,0,17.6,0,0.154,0,0,0,0.0007,0.00003,0.00001,0.002,0.0058,0.0038,0.00005,0.0021,0,0.000009,1.5,0.19,0.18,0.087,0.15,0.03,0.0018,0.0003
Carapau cru,"Peixe, produtos da pesca",105,2.9,0.7,0.8,0.9,0,0,0,0,0,0,0.2,0,19.7,0,0.036,0.015,0,0.0000041,0.00037,0.00015,0.00015,0.005,0.0087,0.0037,0.00036,0.0057,0,0.000015,1.4,0.08,0.4,0.069,0.26,0.033,0.0012,0.0012
Cavala crua,"Peixe, produtos da pesca",202,13.4,3.6,3.7,4.7,0.2,0.3,0,0,0,0,0.2,0,20.3,0,0.045,0.028,0,0.0000024,0.0013,0.00013,0.00023,0.009,0.013,0.0038,0.001,0.014,0,0.000014,1.4,0.078,0.36,0.039,0.28,0.037,0.0011,0.0022
Cherne cru,"Peixe, produtos da pesca",132,6.7,2,2.2,0.9,0.1,0,0,0,0,0,0.28,0,17.9,0,0.047,0.055,0,0.0000066,0.0026,0.00004,0.00003,0.0018,0.0051,0.0033,0.00024,0.0007,0,0.000006,1.2,0.11,0.29,0.008,0.16,0.027,0.0004,0.0007
Chicharro cru,"Peixe, produtos da pesca",105,2.9,0.7,0.8,0.9,0,0,0,0,0,0,0.2,0,19.7,0,0.036,0.015,0,0.0000041,0.00037,0.00015,0.00015,0.005,0.0087,0.0037,0.00036,0.0057,0,0.000015,1.4,0.08,0.4,0.069,0.26,0.033,0.0012,0.0012
Choco cru,"Peixe, produtos da pesca",79,0.4,0.1,0.1,0.1,0,0,0,0,0,0,0.5,0,18.9,0,0.076,0.009,0,0,0.00094,0.00004,0.00003,0.0011,0.0051,0.004,0.00006,0.0012,0,0.0000088,1.4,0.2,0.32,0.008,0.27,0.049,0.0001,0.0017
Corvina crua,"Peixe, produtos da pesca",94,1.4,0.3,0.5,0.2,0,0,0,0,0,0,0.14,0,20.4,0,0.05,0.001,0,0.000016,0.00045,0.00007,0.00014,0.0027,0.0065,0.0038,0.00029,0.0003,0,0.000012,1.2,0.056,0.43,0.013,0.23,0.031,0.0003,0.0005
Dourada crua,"Peixe, produtos da pesca",167,9.8,2.1,3.6,2.8,0.5,0,0,0,0,0,0.15,0,19.7,0,0.051,0.011,0,0.000012,0.00082,0.0002,0.00008,0.0051,0.0088,0.0037,0.00036,0.0048,0,0.000024,1.4,0.059,0.38,0.015,0.25,0.028,0.0004,0.0008
Espadarte cru,"Peixe, produtos da pesca",97,2.9,0.7,1.2,0.5,0,0,0,0,0,0,0.18,0,17.8,0,0.045,0,0,0.0000013,0.00009,0.00011,0.00004,0.0041,0.0074,0.0033,0.00047,0.0014,0,0.000014,1.3,0.072,0.39,0.005,0.26,0.03,0.0006,0.0009
Garoupa crua,"Peixe, produtos da pesca",95,1.4,0.3,0.3,0.4,0,0,0,0,0,0,0.32,0,20.5,0,0.037,0.05,0,0.000007,0.0026,0.00003,0.00005,0.0011,0.0049,0.0038,0.0003,0.001,0,0.000006,1.4,0.13,0.3,0.018,0.16,0.031,0.0006,0.0005
Goraz cru,"Peixe, produtos da pesca",100,2.7,0.7,0.8,0.8,0,0,0,0,0,0,0.25,0,18.8,0,0.036,0.019,0,0.000015,0.0007,0.00005,0.00007,0.0026,0.0061,0.0035,0.00041,0.001,0,0.000015,1.5,0.1,0.37,0.007,0.26,0.032,0.0004,0.0007
Imperador cru,"Peixe, produtos da pesca",80,0.4,0.1,0.1,0.1,0,0,0,0,0,0,0.18,0,19,0,0.032,0.01,0,0.0000027,0.00062,0.0001,0.00002,0.0039,0.0074,0.0035,0.00012,0.00036,0,0.000011,1.1,0.072,0.32,0.014,0.21,0.032,0.0002,0.0004
Lagostim cru,"Peixe, produtos da pesca",89,0.5,0.1,0.1,0.2,0,0,0.2,0,0,0.2,0.8,0,20.9,0,0.068,0,0,0,0.0009,0.00009,0.00004,0.002,0.0059,0.0039,0.00008,0.001,0,0.000011,2.1,0.32,0.19,0.037,0.2,0.042,0.001,0.0015
Linguado cru,"Peixe, produtos da pesca",82,0.2,0,0,0.1,0,0,0,0,0,0,0.22,0,20.1,0,0.044,0.004,0,0.0000094,0.00032,0.00009,0.00013,0.0028,0.0066,0.0038,0.00033,0.00094,0,0.00001,1.4,0.088,0.39,0.021,0.22,0.033,0.0003,0.0006
Lula crua,"Peixe, produtos da pesca",71,0.9,0.2,0.1,0.4,0,0,0,0,0,0,0.5,0,15.8,0,0.14,0.01,0,0.0000035,0.0012,0.00007,0.00002,0.001,0.0044,0.0034,0.00005,0.0011,0,0.0000071,1.3,0.2,0.22,0.018,0.26,0.049,0.0003,0.001
Maruca crua,"Peixe, produtos da pesca",70,0.1,0,0,0.1,0,0,0,0,0,0,0.3,0,17.2,0,0.028,0.009,0,0.0000004,0.00013,0.00004,0.00002,0.00067,0.0039,0.0032,0.00007,0.00048,0,0.0000068,1,0.12,0.26,0.025,0.18,0.025,0.0002,0.0007
